schoolname,city,state
Calhoun County High School,St. Matthews,SC
Cathedral School,Natchez,MS
Jose de Diego Community Academy,Chicago,IL
Philadelphia Learning Academy South,Philadelphia,PA
P. S. 65 Mother Hale Academy,Bronx,NY
Bethesda Academy,Savannah,GA
Lincoln High School,Philadelphia,PA
Rogers High School,Rogers ,AR
Kepler Community School,Fresno,CA
Williamson High School,Mobile,AL
Reiche Community School,Portland,ME
Charles Kelly Elementary,Drexel Hill,PA
McDade Classical Elementary School,Chicago,IL
Union High School,Tulsa,OK
El Sol Academy,Kalamazoo,MI
Wendell Phillips Academy High School,Chicago,IL
Little Rock Central High School,Little Rock,AR
Rosemary Anderson High School,Portland,OR
Comanche Middle School,Comanche,OK
East Chambers High School,Winnie,TX
Antonia Pantoja Charter School,Philadelphia,PA
Eastway Elementary School,Durham,NC
Walkins Elementary School,Washington,DC
Timberview High School,Arlington,TX
Hettinger Public School,Hettinger,ND
Garinger High School,Charlotte,NC
School of the Future,Philadelphia,PA
Woodward High School,Toledo,OH
Santa Fe Indian School,Santa Fe,NM
Lakeview High School,Chicago,IL
YES Prep,Houston,TX
Cherry Hill West High School,Cherry Hill,NJ
Seventy-First High School,Fayetteville,NC
Northern High School,Durham,NC
Ben Davis High School,Indianapolis,IN
Cummings Elementary School,Memphis,TN
Newton Elementary School,Newton,MS
Shaker Heights Middle School,Shaker Heights,OH
South Portland High School,South Portland,ME
Canterbury Elementary School,Crystal Lake,IL
Essex High School,Essex,VA
Stewarts Creek High School,Smyrna,FL
Wildwood Elementary/Middle School,Baltimore,MD
Fairfield High Preparatory School,Fairfield,AL
Rigby Middle School,Rigby,ID
South Shore High School,Brooklyn,NY
Lincoln-Bassett Community School,New Haven,CT
Vaux Big Picture High School,Philadelphia,PA
Middletown Preparatory and Fitness Academy,Middletown,OH
East High School,Wichita,KS
Fred A. Toomer Elementary School,Atlanta,GA
Lake Asbury Elementary School,Lake Asbury,FL
Heritage High School,Newport News,VA
Eastside Arts Academy,Cleveland,OH
Widefield High School,Colorado Springs,CO
Hermitage High School,Henrico,VA
Austin-East High School,Knoxville,TN
West Philadelphia High School,Philadelphia,PA
Parkland High School,Winston-Salem,NC
Swainsboro High School,Swainsboro,GA
Orchard Ridge Elementary School,Madison,WI
Provo High School,Provo,UT
Beechcroft High School,Columbus,OH
Springfield Estates Elementary,Springfield,VA
Mary Todd Elementary School,Lexington,KY
Centennial High School,Champaign,IL
La Vergne High School,La Vergne,TN
McNair Elementary School,Hazelwood,MO
Edwards Elementary School,Chesterfield County,SC
North Area Athletic Complex,Arvada,CO
Stratford School,Palo Alto,CA
Sheep-Harney Elementary School,Elizabeth City,NC
Tri-County Education Center,Ferndale,MI
Champaign School Bus,Champaign,IL
Prairie Seeds Academy,Brooklyn Park,MN
Harrisburg High School,Harrisburg,PA
O’Maley Innovation Middle School,Gloucester,MA
Desert Oasis High School,Las Vegas,NV
Julius Chambers High School,Charlotte,NC
Mt. Eden High School,Hayward,CA
Buena Park School District Bus,Buena Park,CA
Albuquerque Christ Lutheran Church and School,Albuquerque,NM
Woodland High School,Stockbridge,GA
Santee High School,Los Angeles,CA
Mt. Tabor High School,Winston-Salem,NC
Frazier International Magnet School,Chicago,IL
West Side High School,Newark,NJ
New Hanover High School,Wilmington,NC
New Town High School,Owings Mills,MD
Okeeheelee Middle School,West Palm Beach,FL
Santa Maria High School,Santa Maria,CA
Edmunds Middle School,Burlington,VT
Freedom High School,Woodbridge,VA
Apollo High School,Owensboro,KY
Hammond Central High School,Hammond,IN
Aki Kurose Middle School,Seattle,WA
Northpointe Academy Elementary School,Toledo,OH
Hauppauge Middle School,Hauppauge,NY
Miller Park Elementary,Omaha,NE
Central High-Bullard High,Fresno,CA
Orangeburg-Wilkinson High School,Orangeburg,SC
Yeshiva Toras Chaim High School,Denver,CO
Rosa Park Elementary School,Dale City,VA
Darlington County School District Buses,Hartsville,SC
Mary E. McDowell Elementary School,Chicago,IL
Washington Middle School,Albuquerque,NM
Campbell High SChool,Smyrna,GA
Lithonia High School,Lithonia,GA
North Mountain Middle School,San Jacinto,CA
Mark Twain Elementary School,Colorado Springs,CO
Oakland Tech High School,Oakland,CA
East Linden Elementary School,Columbus,OH
Gilbert Heights Elementary School,Portland,OR
St. Francis de Sales school,Houma,LA
Chapel Hill Middle School,Douglasville,GA
Burns Middle School,Mobile,AL
Tyee High School,SeaTac,WA
Theodore Herzl Elementary School,Chicago,IL
Caldwell High School,Caldwell,TX
Forest Park Elementary,Little Rock,AL
Campus High School,Wichita,KS
Benito Juarez Community Academy,Chicago,IL
Dr. Louis A. Cerulli School No. 34,Rochester,NY
Slater Elementary School,Fresno,CA
Abraham Lincoln Middle School,Rockford,IL
Modesto Christian School,Modesto,CA
Eastern Hills High School,Fort Worth,TX
Rowland Middle School,Rowland,NC
R.J. Reynolds High School,Winston-Salem,NC
William Dick School,Philadelphia,PA
Park Elementary School,Columbia,PA
McCluer North High School,Florissant,MO
Holy Cross High School,Waterbury,CT
William Fleming High School,Roanoke,VA
North Forest High School,Houston,TX
Musser Elementary School,Sharon,PA
Hazel Grove Elementary,Kansas City,KS
Dr. Charles R. Drew Elementary School,Arlington,VA
Lincoln Park High School,Chicago,IL
Paterson School 6,Paterson,NJ
Brown Middle School,El Paso,TX
Aurora Collegiate Academy,Memphis,TN
Long Reach High School,Columbia,MD
San Mateo High School,San Mateo,CA
P.S. 178 Saint Clair Mckelway Grade School,Brooklyn,NY
Verbum Dei High School,Los Angeles,CA
Forest Lake Elementary,Columbia,SC
Ware Shoals High School,Ware Shoals,SC
Crossroads Alternative High,Cutlerville,MI
Chicago Bulls College Prep High School,Chicago,IL
Benjamin E Mays School,St. Paul,MN
Mary Castle Elementary School,Indianapolis,IN
Urban Dove Charter School,Brooklyn,NY
Victor Valley High School,Victorville,CA
La Petite Academy,Memphis,TN
Smyrna Middle School,Smyrna,DE
Plymouth Middle School,Plymouth,MN
Harker Heights High School,Harker Heights,TX
Westwood Elementary School,Dayton,OH
Maury County Public Schools Bus No. 50,Columbia,TN
Austin-East Magnet High School,Knoxville,TN
San Diego High School,San Diego,CA
Bishop Noll Institute,Hammond,IN
Peoria High School,Peoria,IL
Back of the Yards College Prep High School,Chicago,IL
Cleveland High School,Cleveland,OK
Selma High School,Selma,AL
Peabody Elementary School,Cambridge,MA
Castlio Elementary School,St Charles,MO
Four Corners Elementary School,Salem,OR
Spring Mills Middle School,Martinsburg,WV
Greenwood Elementary School,Louisville,KY
Merrillville High School,Merrillville,IN
Lee Elementary School,Abilene,TX
Cincinnati College Preparatory Academy,Cincinnati,OH
Sarah Moore Greene Elementary,Knoxville,TN
Bishop Hartley High School,Columbus,OH
Chesterfield Elementary School,Chesterfield,SC
Watson Chapel Junior High,Pine Bluff,AR
George Washington Carver High School,New Orleans,LA
Garfield Elementary School,Yakima,WA
Houston Elementary School,Visalia,CA
Lincoln Middle School,Rockford,IL
Christenberry Elementary School,Knoxville,TN
Third Creek Elementary School,Statesville,NC
Roosevelt High School,Minneapolis,MN
Forest Oak Middle School,Fort Worth,TX
School Number 15,Paterson,NJ
St. Martinville Head Start Center,St. Martinville,LA
School Bus,Grand Rapids,MI
Benjamin Stoddert Middle School,Marlow Heights,MD
Muslim American Youth Academy,Dearborn,MI
Hattiesburg High School,Hattiesburg,MS
Holly Hill School,Holly Hill,FL
Lower Elementary School,Grove,OK
Eastmoor Academy,Columbus,OH
Highland Elementary School,Wheaton,MD
Southeast High School,Springfield,IL
Perth Bible Church and Christian Academy,Johnstown,NY
Rogers High School,Spokane,WA
Youth Under Construction Youth Center,Pompano Beach,FL
Dubois Elementary School,Chicago,IL
Tabb Middle School,Yorktown,VA
East Chicago Academy of Visual and Performing Arts,Chicago,IL
Abe Hubert Elementary School,Garden City,KS
Hendersonville Middle School,Hendersonville,NC
Weatherford High School,Weatherford,TX
Great Falls High School,Great Falls,MT
Winridge Elementary School,Memphis,TN
Lincoln Elementary School,Leland,NC
Nativity School of Harrisburg,Harrisburg,PA
Cesar Chavez Middle School,Union City,CA
Collins Elementary School,Houston,TX
Baldwin Elementary School,La Puente,CA
Terre Haute South Vigo High School,Terre Haute,IN
Khalsa Montessori Charter,Tuscon,AZ
Erie High School,Erie,CO
Lawton Chiles Middle School,Miramar,FL
Rochester Prep Charter School,Rochester,NY
Riverdale High School,Riverdale,GA
Stillwater Elementary School,Stamford,CT
Jack Robey Junior High School,Pine Bluff,AR
Seneca High School,Louisville,KY
Washington Elementary School,Sunnyside,WA
Bradford Area School District,Bradford,PA
Rhode Island School for the Deaf ,Providence,RI
North Dallas High School,Dallas,TX
Shakopee High School,Shakopee,MN
Jean Ribault High School,Jacksonville,FL
Southridge Junior High,Moore,OK
KIPP Delta Elementary School,West Helena,AR
Adam’s Elementary School,Lincoln,NE
Marple-Newtown School Bus,Exton,PA
Dymally High School,Los Angeles,CA
East Rock Community Magnet School,New Haven,CT
Haledon Public School,Haledon,NJ
Rock Island Academy,Rock Island,IL
McClernand Elementary School,Springfield,IL
Walt Hanline Middle School,Ceres,CA
William Tennent High School,Warminster,PA
Highlands Middle School,Jacksonville,FL
Pleasant Hill Elementary School,Pleasant Hill,CA
Liberty Elementary School,Salt Lake City,UT
Krouzian Zekarian Vasbouragan Armenian School,San Francisco,CA
Winburn Middle School,Lexington,KY
Dr. Martin Luther King Jr. Elementary School,Portland,OR
Ellet High School,Akron,OH
Artondale Elementary School,Gig Harbor,WA
Sonora High School,Sonora,CA
Viewmont High School,Bountiful,UT
York County School Bus,Rock Hill,SC
Saint Francis DeSales High School,Columbus,OH
Peoria Public Schools Bus,Peoria,IL
Southmayd Elementary School,Houston,TX
West Bradford Elementary School,West Bradford Township,PA
Lone Star Elementary School,Jacksonville,FL
Dougherty Comprehensive High School,Albany,GA
L.O. Donald Leadership Academy,Dallas,TX
West Middle School,Columbia,MO
Aberdeen K-8 School,Grand Rapids,MI
Kelly Elementary School,Pittsburg,PA
Collinsville High School,Collinsville,IL
Canyon del Oro High School,Oro Valley,AZ
Brookdale Elementary School,Orangeburg,SC
Willow Woods Elementary School,Detroit,MI
Lake Hills Elementary School,Michigan City,IN
Frost Elementary School,Prospect Heights,IL
Lakota Career Readiness Academy,West Chester Township,OH
Halifax County Middle School,South Boston,VA
Columbus East High School,Columbus,IN
Joyce Kilmer School 69,Indianapolis,IN
Touissant Louverture Elementary School,Miami,FL
Garfield Elementary School,Davenport,IA
Luis Munoz Marin Middle School,Cleveland,OH
O Rourke Elementary School,Mobile,AL
Miles Elementary School,Cleveland,OH
West Gate Elementary School,Manassas,VA
Stuart W Cramer High School,Cramerton,NC
Golden West High School,Visalia,CA
Abbotts Creek Elementary School,Raleigh,NC
Morton Middle School,Omaha,NE
Narvie J. Harris Elementary School,Stonecrest,GA
Roy Shelling Elementary School,Monroe,LA
Booker T. Washington High School,Shreveport,LA
Atascocita High School,Humble,TX
Pine View Elementary,Rockwood,TN
Shenango Area Schools (bus),New Castle,PA
Sagemont School,Weston,FL
North Forney High School,Forney,TX
Cesar Chavez Community School,Albuquerque,NM
Johnson-Wabash Elementary School,Ferguson,MO
Second Start Alternative High School,Concord,NH
Beau Chene High School,Arnaudville,LA
George Washington Carver Elementary School,Jacksonville,FL
Hicks Elementary School,Houston,TX
Deer Valley High School,Antioch,CA
Lufkin Middle School,Lufkin,TX
White Station High School,Memphis,TN
Martin Van Buren High School,Queens,NY
Robertson Elementary School,Yakima,WA
Oxnard's Christa McAuliffe Elementary School,Oxnard,CA
Park Middle School,Lincoln,NE
Lindblom Math & Science Academy High School,Chicago,IL
North Crowley Ninth Grade Campus,Fort Worth,TX
Cane Bay High School,Summerville,SC
Three Fires Elementary School,Howell,MI
Poteet High School,Mesquite,TX
Bellaire High School,Houston,TX
Ellis Davis Field House,Dallas,TX
McWillie Elementary School,Jackson,MS
Glades Central Community High School,Belle Glade,FL
Southridge High School,Kennewick,WA
Mason-Clark Middle School,St. Louis,MO
West St. John Elementary School,St. John the Baptist Parish,LA
Lely High School,Naples,FL
Catholic Academy of New Haven,New Haven,CT
Maury High School,Norfolk,VA
Chase Middle School,Topeka,KS
Evans Elementary School,Evansville,IN
Sacred Heart School,Jersey City,NJ
J C Harmon High School,Kansas City,KS
Decatur High School,Decatur,AL
Picacho Middle School,Las Cruces,NM
Thomas Jefferson Middle School,Madison,WI
Oshkosh West High School,Oshkosh,WI
Waukesha South High School,Waukesha,WI
Mountain Brook High School,Mountain Brook,AL
Sarah J. Anderson Elementary School,Vancouver,WA
Catalyst Circle Rock Charter School,Chicago,IL
Searles Elementary School,Union City,CA
Rich Central High School,Olympia Fields,IL
Pleasantville High School,Pleasantville,NJ
Saugus High School,Santa Clarita,CA
Esteban Torres High School,Los Angeles,CA
Achievement Academy,Baltimore,MD
Robert L. Thornton Elementary School,Dallas,TX
Edison High School,Stockton,CA
New Dawn Charter High School,New York,NY
Laurel Woods Elementary School,Laurel,MD
Brick Memorial High School,Brick Township,NJ
Ridgway High School,Santa Rosa,CA
Creekside High School,South Fulton,GA
Rayne High School,Rayne,LA
Greenhalge Elementary School,Lowell,MA
Westbury High School,Houston,TX
Sheridan High School,Sheridan,CO
South Atlanta High School,Atlanta,GA
Zebulon B. Vance High School,Charlotte,NC
Simon Gratz High School Mastery Charter,Philadelphia,PA
Fond Du Lac Ojibwe High School,Cloquet,MN
Phoebus High School,Hampton,VA
Illinois Central School Bus,Kankakee,IL
Ethel M. Gildersleeve Middle School,Newport News,VA
Granger High School,West Valley City,UT
Manhattan High School,Manhattan,KS
South Aiken High School,Aiken,SC
West Palmer High School,Morrisville,PA
McKee Middle School,Jeannette,PA
Center Point High School,Center Point,AL
Northwood Elementary School,Baltimore,MD
Central Catholic High School,Toledo,OH
Kinston High School,Kingston,NC
Ladd-Peebles Stadium,Mobile,AL
Roosevelt High School,Roosevelt,NY
Hollenbeck Middle School,Los Angeles,CA
William C. Longstreth Elementary School,Philadelphia,PA
Roosevelt High School,St. Louis,MO
Parkway North High School,St. Louis,MO
Peek's Chapel Elementary School,Conyers,GA
Saint Patrick School,Carlisle,PA
Lakewood Stadium,Atlanta,GA
East Magnet High School,Nashville,TN
Blount Elementary School,Montgomery,AL
Monroe Clark Middle School,San Diego,CA
Bulkeley High School,Hartford,CT
Williwaw Elementary School,Anchorage,AK
School of Science and Applied Learning,New York,NY
Jack Swigert Aerospace Academy ,Colorado Springs,CO
Carman-Ainsworth High School,Flint Township,MI
Tamaques Elementary School,Westfield,NJ
Jefferson Elementary School,Emmaus,PA
Hendley Elementary School,Washington,DC
Menta Academy North,Waukegan,IL
Genevieve Melody STEM Elementary School,Chicago,IL
Shady Lane Elementary School,Columbus,OH
Parkrose High School,Portland,OR
Terry Parker High School,Jacksonville,FL
Second Change High School,Chicago,IL
STEM School Highlands Ranch,Highlands Ranch,CO
C D Hylton High School,Woodbridge,VA
Weightman Middle School,Wesley Chapel,FL
Creekside High School,Fairburn,GA
Wynbrooke Elementary Theme School,Stone Mountain,GA
Concord High School,Concord,AR
Washington Middle School,Lyons,IL
Ross Shaw Sterling Aviation High School,Houston,TX
Hood Elementary School,Lynn,MA
St. Josaphat Parish School,Milwaukee,WI
Saint Clair Evans Academy,Jacksonville,FL
Aurora West College Preparatory Academy,Aurora,CO
Prescott 
High School,Prescott,AR
S V Marshall Elementary,Holmes County,MS
Mayport Coastal Sciences Middle School,Jacksonville,FL
Blountsville Elementary School,Blountsville,AL
Lake Mary High School,Orlando,FL
Highlands Elementary School,Mission,KS
Robert E. Lee High School,Montgomery,AL
Eaglecrest High School,Aurora,CO
V. Sue Cleveland High School,Rio Rancho,NM
Central Academy of Excellence,Kansas City,MO
Frederick Douglass High School,Baltimore,MD
Minneapolis School District Bus,Minneapolis,MN
Atascocita High School,Atascocita,TX
Manassas High School,Memphis,TN
Miller Grove High School,Lithonia,GA
Reno High School,Reno,NV
Davidson High School,Mobile,AL
Southern Hills Elementary School,Shreveport,LA
Lakewood Middle School,Overland Park,KS
Sheppard Middle School,Durham,NC
Hazelwood East High School,St. Louis,MO
Central High School,Tuscaloosa,AL
Cascade Middle School,Eugene,OR
Central Elementary School,Belmont,CA
A I du Pont High School,Greenville,DE
Winnetonka High School,Kansas City,MO
Dennis Intermediate School,Richmond,IN
Cawood Elementary School,Cawood,KY
Jefferson High School,Jefferson,NY
Strawberry Mansion High School,Philadelphia,PA
Africentric Early College High School,Columbus,OH
Mount Rainier High School,Des Moines,WA
Skyline High School,Dallas,TX
Pentwater Public School,Pentwater,MI
Simonsdale Elementary School,Portsmouth,VA
Eastern Tech High School,Essex,MD
Garrett Middle School,Marietta,GA
Cleveland Elementary School,Santa Barbara,CA
Academy of Hope,Conway,SC
Crums Lane Elementary School,Louisville,KY
Butler High School,Matthews,NC
Cody High School,Detroit,MI
Gossler Park Elementary School,Manchester,NH
Dunbar Elementary School,Bridgeport,CT
Shiloh Middle School,Snellville,GA
McGavock High School,Nashville,TN
Battle Creek Academy,Battle Creek,MI
Varina High School,Henrico,VA
Lake Taylor High School,Norfolk,VA
Haywood High School,Brownsville,TN
Jason Lee Elementary School,Portland,OR
Denali Montessori Elementary School,Anchorage,AK
Chicot Elementary School,Little Rock,AR
Chamberlain High School,Chamberlain,SD
Hebron High School,Carrollton,TX
Maree Garnett Farring Elementary,Baltimore,MD
Central High School,Philadelphia,PA
Lawrence Orr Elementary School,Charlotte,NC
Appling County High School,Baxley,GA
Pomona High School,Pomona,CA
CHAMPS Charter High School,Los Angeles,CA
Blossomwood Elementary School,Huntsville,AL
Boynton Beach High School,Boynton Beach,FL
Canyon Springs High School,Las Vegas,NV
Fairley High School,Memphis,TN
Chatham Academy High School,Chicago,IL
Gilroy High School,Gilroy,CA
Herbert Hoover High School,Des Moines,IA
Providence Career and Technical Academy,Providence,RI
Luisa Pineiro Fuentes School of Science and Discovery,New York,NY
North Scott Junior High School,Eldridge,IA
Balboa High School,San Francisco,CA
Villa Heights Elementary School,Charlotte,NC
Ottawa Hills High School,Grand Rapids,MI
Towne Point Elementary School,Dover,DE
Cole Middle School,Denver,CO
Metro East Lutheran High School,Chicago,IL
Raines High School,Jacksonville,FL
Alabama State University Stadium (high school game),Montgomery,AL
Palm Beach Central High School,Wellington,FL
Antioch High School,Nashville,TN
Lakeside Middle School,Millville,NJ
Edgewood High School,Edgewood,MD
Liberty Elementary School,Ottumwa,IA
West Valley Middle School,Yakima,WA
Hurricane High School,Hurricane,WV
Milkovich Middle School,Maple Heights,OH
Sunrise Point Elementary School,Overland,KS
Raineshaven Elementary School,Memphis,TN
Fulton Elementary School,Springfield,OH
Sentinel High School,Missoula,MT
Grant High School,Portland,OR
Valley Elementary School,Beaver Creek,OH
McKinney North High School,McKinney,TX
Noblesville West Middle School,Noblesville,IN
Beaverbrook Elementary School,Griffin,GA
Santa Fe High School,Santa Fe,TX
Mount Zion High School,Atlanta,GA
Central High School,Kansas City,MO
Dixon High School,Dixon,IL
Highland High School,Palmdale,CA
Fowlerville High School,Fowlerville,MI
Waynesboro Elementary School,Waynesboro,TN
Enemy Swim Day School,Waubay,SD
Highland High School,Albuquerque,NM
Benjamin E. Mays High School,Atlanta,GA
Forest High School,Ocala,FL
Jackson High School,Jackson,MI
Rayton South Middle School,Rayton,MO
Gloversville Middle School,Gloversville,NY
John Hardin High School,Elizabethtown,KY
Eupora High School,Eupora,MS
Great Mills High School,Great Mills,MD
Douglass Park Elementary School,Portsmouth,VA
Big Sky High School,Missoula,MT
George Washington Middle School,Alexandria,VA
Seaside High School,Seaside,CA
Frederick Douglass High School,Lexington,KY
Huffman High School,Birmingham,AL
Kingston High School,Cadet,MO
Dalton High School,Dalton,GA
Oakland High School,Tacoma,WA
Jackson Memorial Middle School,Massillon,OH
North Broward Preparatory School,Coconut Creek,FL
Marjory Stoneman Douglas High School,Parkland,FL
Peal-Cohn High School,Nashville,TN
The Metropolitan High School,New York,NY
Harmony Learning Center,Maplewood,MN
Oxon Hill High School,Oxon Hill,MD
Salvador B. Castro Middle School,Los Angeles,CA
Dearborn High School,Dearborn,MI
Murphy High School,Mobile,AL
Marshall County High School,Benton,KY
Italy High School,Italy,TX
NET Charter High School,New Orleans,LA
Montpelier High School,Montpelier,VT
Coronado Elementary School,Sierra Vista,AZ
Forest City School Bus,Forest City,IA
New Start High School,Seattle,WA
Pinewood Elementary School,Marysville,WA
Edna Karr High School,Algiers,LA
Lincoln Elementary School,Lancaster,CA
Beecher High School,Beecher,MI
Elisha M. Pease Elementary School,Dallas,TX
High Point Central High School,High Point,NC
